,date,mean,stDev,Rolling_mean
13,2017-10-28,0.2045268340166224,0.08170085492059981,0.2022215209651288
14,2017-11-12,0.1439484824159349,0.02989686094875424,0.1683669396822934
15,2017-11-17,0.16925224351675014,0.053504587647423316,0.16210720060532927
16,2017-11-22,0.1769764739067053,0.0358814113990893,0.16862767580704227
27,2017-12-07,0.31779427757096834,0.0726895319771459,0.1751617657677143
28,2017-12-22,0.5965204710646194,0.08748238811154997,0.2042657957644846
29,2017-12-27,0.6294123491575552,0.06486650644520342,0.2195779275475505
30,2018-01-01,0.6540404832640365,0.05452688707531946,0.2277240751184193
31,2018-01-11,0.6764842736628629,0.036345836447292106,0.24605940132727508
49,2018-01-31,0.6457921557648234,0.05859495973694232,0.2810450770571808
50,2018-02-05,0.673022169891254,0.037330621326534905,0.28975218168280875
51,2018-02-10,0.6062418680782463,0.059633047775960527,0.3209951488385486
52,2018-02-15,0.476243825984556,0.16987645638204846,0.3406717312867909
53,2018-02-20,0.5560822956783829,0.07061344134880257,0.34816389138159176
