,date,mean,stDev,Rolling_mean
20,2018-10-28,0.07999327236474238,0.0607291697837826,0.1556160736610126
21,2018-11-12,0.14807395981263707,0.03438963392390572,0.15280945017551656
22,2018-12-02,0.40679417668386936,0.10958237638092387,0.17132500002721424
23,2018-12-07,0.3995201280874796,0.06258151300750835,0.18402356734164865
35,2018-12-17,0.6195899079474365,0.05986501146282972,0.1911336995609041
36,2019-01-06,0.7523309679918512,0.0413354822380829,0.22713880243266268
37,2019-01-11,0.7271004204602203,0.049995878154728335,0.25675263194649756
38,2019-01-16,0.6678362238314721,0.054392013053440505,0.2896758561434636
57,2019-01-26,0.6223351882409671,0.07748774779224646,0.3254876546479302
58,2019-01-31,0.6722524066304055,0.04212690813859553,0.3550500097657015
59,2019-02-10,0.6057635147904237,0.044701091468053296,0.3787704519828886
60,2019-02-15,0.4919439302858455,0.046601631031552605,0.3964708315349628
61,2019-02-20,0.4517762115297394,0.04387818085543059,0.41165594412081796
