,channel,date,min,max,mean,stDev
177,0,11/28/2015,0.024384206,0.242231071,0.088854949,0.051100731
176,0,12/28/2015,-0.012204424,0.110473454,0.036047451,0.022595317
175,0,3/27/2016,0.065088756,0.313997477,0.182318634,0.043077022
174,0,4/26/2016,0.072630286,0.266636491,0.181640421,0.039937694
173,0,6/5/2016,0.025318606,0.68026942,0.191573469,0.141790506
172,0,6/25/2016,0.207037836,0.482589632,0.302825596,0.045654359
171,0,7/15/2016,0.02019777,0.09868712,0.058024482,0.015332623
170,0,8/4/2016,0.279335409,0.349951327,0.32087013,0.017150752
169,0,8/24/2016,-0.024120003,0.149533868,0.019237584,0.02814757
168,0,9/13/2016,-0.026013548,0.053416148,0.014673577,0.013621247
167,0,10/3/2016,0.091679916,0.432753891,0.180394226,0.06014631
166,0,10/23/2016,-0.028258119,0.004238485,-0.013437377,0.006716108
165,0,11/2/2016,-0.011115095,0.077299416,0.023962372,0.014111692
164,0,11/12/2016,0.043070745,0.113732889,0.073838785,0.01119656
163,0,11/22/2016,0.084517576,0.493705541,0.154348941,0.03861238
162,0,12/12/2016,0.179138318,0.417499989,0.283101528,0.051699013
161,0,12/22/2016,0.335559279,0.76231432,0.549776533,0.101702367
160,0,1/1/2017,0.425591648,0.63291508,0.561802503,0.042537967
159,0,1/31/2017,0.480269492,0.707121909,0.62826938,0.041099042
158,0,2/10/2017,0.407978535,0.692772746,0.558322617,0.049394319
157,0,3/2/2017,0.122816749,0.447397172,0.264385565,0.061490688
156,0,3/22/2017,0.210961744,0.438922167,0.294447025,0.043527217
155,0,4/11/2017,0.03128621,0.061442293,0.04656697,0.004927893
154,0,5/1/2017,0.001520165,0.340521127,0.112965843,0.076637562
153,0,5/21/2017,0.056666244,0.089761183,0.070748246,0.005625786
152,0,6/10/2017,-0.219036147,0.216417909,0.023372218,0.057403206
151,0,6/30/2017,-0.040551405,0.281089157,0.078563721,0.06145799
150,0,7/15/2017,0.241268992,0.380269647,0.323169713,0.025429519
149,0,7/20/2017,0.307517081,0.728304029,0.491117532,0.112708743
148,0,8/4/2017,0.198116273,0.43232125,0.309777749,0.040835487
147,0,8/9/2017,0.003183414,0.108636975,0.03060708,0.020457905
146,0,8/24/2017,-0.022534989,0.04239361,0.006840775,0.009861059
145,0,8/29/2017,0.250197321,0.775303304,0.498880077,0.13192913
144,0,9/13/2017,-0.038248107,0.002942766,-0.018617475,0.008285199
143,0,9/18/2017,0.064705178,0.098584674,0.082712177,0.006374929
142,0,10/3/2017,0.181372553,0.758825719,0.406239094,0.113146367
141,0,10/8/2017,0.035158619,0.178866968,0.081566464,0.027948097
140,0,10/23/2017,-0.020627802,0.658889413,0.178238192,0.082018692
139,0,10/28/2017,0.037379578,0.670311213,0.204526834,0.081700855
138,0,11/2/2017,-0.015582656,0.025202718,0.001668074,0.007666978
137,0,11/12/2017,0.078965284,0.431997806,0.143948482,0.029896861
136,0,11/17/2017,0.043271139,0.58613658,0.169252244,0.053504588
135,0,11/22/2017,0.083969466,0.434106052,0.176976474,0.035881411
134,0,12/2/2017,-0.053505134,0.058306709,-0.003398388,0.016018498
133,0,12/7/2017,0.125778332,0.534047723,0.317794278,0.072689532
132,0,12/12/2017,-0.005582773,0.272864252,0.087496068,0.048278129
131,0,12/22/2017,0.321756899,0.755236387,0.596520471,0.087482388
130,0,12/27/2017,0.359425962,0.726523876,0.629412349,0.064866506
129,0,1/1/2018,0.413608849,0.734946847,0.654040483,0.054526887
128,0,1/11/2018,0.458988965,0.734542429,0.676484274,0.036345836
127,0,1/16/2018,0.074107029,0.109496243,0.091369214,0.006816342
126,0,1/31/2018,0.350828737,0.723585367,0.645792156,0.05859496
125,0,2/5/2018,0.463106126,0.737911284,0.67302217,0.037330621
124,0,2/10/2018,0.387196153,0.698424995,0.606241868,0.059633048
123,0,2/15/2018,0.082630329,0.657568216,0.476243826,0.169876456
122,0,2/20/2018,0.301629007,0.681024432,0.556082296,0.070613441
121,0,2/25/2018,0.134008676,0.28247422,0.217663213,0.028228806
120,0,3/2/2018,0.225563914,0.529757559,0.346959092,0.061995489
119,0,3/7/2018,0.01903172,0.167684019,0.094694931,0.026851114
118,0,3/12/2018,0.010651273,0.022980105,0.016008315,0.002125949
117,0,3/17/2018,0.160986543,0.272640616,0.214465087,0.019569891
116,0,3/22/2018,0.19970952,0.430890322,0.269416269,0.025744906
115,0,3/27/2018,0.157614484,0.424234629,0.251735835,0.035858865
114,0,4/1/2018,-0.134321451,0.158427224,0.035132463,0.036480513
113,0,4/6/2018,0.02209782,0.03540796,0.029091873,0.002272881
112,0,4/11/2018,-0.025517644,0.206675231,0.029157698,0.037161913
111,0,4/16/2018,0.086447299,0.361004353,0.215424725,0.04507314
110,0,4/21/2018,0.05628198,0.341463417,0.193388945,0.054959781
109,0,4/26/2018,-0.061538462,0.430588245,0.083678004,0.074156014
108,0,5/1/2018,0.03044316,0.440274835,0.133112848,0.0490707
107,0,5/6/2018,0.143876344,0.281944722,0.189721171,0.019606813
106,0,5/11/2018,-0.035777293,0.045802571,6.97E-05,0.013765053
105,0,5/16/2018,-0.122711763,0.162419036,0.002219165,0.044083491
104,0,5/21/2018,-0.001746672,0.014111572,0.006921257,0.002377045
103,0,5/26/2018,-0.234075218,0.140939593,-0.094142626,0.077345916
102,0,5/31/2018,0.030331096,0.326059371,0.164625991,0.028452003
101,0,6/5/2018,-0.013988237,0.037315436,0.01154999,0.008858128
100,0,6/10/2018,0.033575319,0.345815599,0.172292786,0.049351984
99,0,6/15/2018,-0.052107729,0.322867602,0.175599332,0.052182718
98,0,6/20/2018,0.176238596,0.347946465,0.258578098,0.03484585
97,0,6/25/2018,0.240092173,0.4232122,0.323923992,0.037260716
96,0,6/30/2018,0.006012537,0.657103539,0.27700656,0.16792395
95,0,7/5/2018,0.032726046,0.495899051,0.320814392,0.113280457
94,0,7/10/2018,-0.000503891,0.013740286,0.005494082,0.002506899
93,0,7/15/2018,0.013278506,0.032967035,0.02390579,0.003049438
92,0,7/20/2018,0.051275879,0.593165457,0.326154003,0.156396497
91,0,7/25/2018,-0.05894332,0.162699386,0.008342398,0.030916251
90,0,7/30/2018,0.021405984,0.142160386,0.082094421,0.025133055
89,0,8/4/2018,0.064089291,0.084348641,0.072983212,0.003116421
88,0,8/9/2018,0.056445826,0.167628258,0.089402352,0.022778469
87,0,8/14/2018,0.312286675,0.407253891,0.37442301,0.014164015
86,0,8/19/2018,0.026541168,0.045302156,0.036678419,0.003140352
85,0,8/24/2018,0.01811053,0.488038272,0.145548782,0.131842342
84,0,8/29/2018,0.268863827,0.349968821,0.312614034,0.01362807
83,0,9/3/2018,0.32825321,0.649601221,0.50096007,0.043213383
82,0,9/8/2018,0.121856868,0.655801833,0.381263651,0.085261036
81,0,9/13/2018,0.191001132,0.550764203,0.3016857,0.064439317
80,0,9/18/2018,-0.062898815,0.078534834,0.000177214,0.025676935
79,0,9/28/2018,-0.028679937,0.040609803,0.014229635,0.012785637
78,0,10/3/2018,-0.002792646,0.367325693,0.13482383,0.053058359
77,0,10/8/2018,0.001909264,0.016102768,0.00937174,0.002382472
